SAMEA3136623	SAMEA3136624	SAMEA3136625	SAMEA3136626	SAMEA3136627	SAMEA3136628	SAMEA3136629	SAMEA3136630	SAMEA3136631	SAMEA3136632	SAMEA3136633	SAMEA3136634	SAMEA3136635	SAMEA3136636	SAMEA3136637	SAMEA3136638	SAMEA3136639	SAMEA3136640	SAMEA3136641	SAMEA3136642	SAMEA3136643	SAMEA3136644	SAMEA3136645	SAMEA3136646	SAMEA3136647	SAMEA3136648	SAMEA3136649	SAMEA3136650	SAMEA3136651	SAMEA3136652	SAMEA3136653	SAMEA3136654	SAMEA3136655	SAMEA3136656	SAMEA3136657	SAMEA3136658	SAMEA3136659	SAMEA3136660	SAMEA3136661	SAMEA3136662	SAMEA3136663	SAMEA3136664	SAMEA3136665	SAMEA3136666	SAMEA3136667	SAMEA3136668	SAMEA3136669	SAMEA3136670	SAMEA3136671	SAMEA3136672	SAMEA3136673	SAMEA3136674	SAMEA3136675	SAMEA3136676	SAMEA3136677	SAMEA3136678	SAMEA3136679	SAMEA3136724	SAMEA3136725	SAMEA3136726	SAMEA3136727	SAMEA3136728	SAMEA3136729	SAMEA3136730	SAMEA3136731	SAMEA3136732	SAMEA3136733	SAMEA3136734	SAMEA3136735	SAMEA3136736	SAMEA3136737	SAMEA3136738	SAMEA3136739	SAMEA3136740	SAMEA3136741	SAMEA3136742	SAMEA3136743	SAMEA3136744	SAMEA3136745	SAMEA3136746	SAMEA3136747	SAMEA3136748	SAMEA3136749	SAMEA3136750	SAMEA3136751	SAMEA3136752	SAMEA3136753	SAMEA3136754	SAMEA3136755	SAMEA3136756	SAMEA3136757	SAMEA3136758	SAMEA3136759	SAMEA3136760	SAMEA3136761	SAMEA3136762	SAMEA3136763	SAMEA3136764	SAMEA3136765	SAMEA3136766	SAMEA3136767	SAMEA3136768	SAMEA3136769	SAMEA3178936	SAMEA3178937	SAMEA3178938	SAMEA3178939	SAMEA3178940	SAMEA3178943
UNMAPPED	47035.0000001882	48604.0000002201	52740.0000001053	44356.0000003472	58823.0000001123	43482.9999999404	40203.0000001212	67515.0000000699	43822.0000001892	122021.000000871	25076.000000601	66403.0000000857	16296.000000572	36549.0000001516	55275.0000001162	78208.0000006056	12974.0000002547	49219.0000004247	89629.0000006495	94088.0000002021	48000.0000000945	91171.000000148	112466.000000417	29384.0000003446	14169.0000006794	103399.000000731	20212.0000000527	22999.0000001897	62665.0000005416	74683.0000001927	36596.0000000918	104403.000000478	34838.0000001087	61635.0000009157	25042.0000000886	94115.0000001801	108674.000000421	30177.0000000038	30979.0000002179	43315.0000002603	69866.0000002134	68607.0000004273	21352.0000003472	60660.0000000801	74666.0000001114	21300.0000001703	77504.0000002634	85870.0000003564	65861.0000001764	54850.0000001236	74393.0000007393	58418.0000001297	74912.0000001076	73109.0000002379	7372.00000021585	29856.9999998394	16048.9999999985	26124.0000001809	143331.000001049	91616.0000008064	72886.0000005145	67311.0000000703	62637.0000001871	27678.0000001866	55348.0000002958	69093.0000002511	65430.0000004209	32217.0000000496	41827.0000002731	45881.0000000324	34087.0000001208	97310.0000000503	56546.0000002445	52607.0000001921	42661.000000277	56139.0000002926	84040.0000001382	41486.0000001502	49254.0000001091	79014.0000002838	59790.0000000237	44692.0000000726	49494.0000002436	63008.0000009287	75008.0000001013	90736.0000005523	58277.0000001653	98549.000000409	82002.0000001423	120275.000000529	56220.000000413	34230.0000001352	61613.000000106	86162.0000004564	60613.0000005994	48116.0000004428	36667.0000004703	69465.0000002955	12844.9999999472	43142.9999997029	43811.9999999931	2624.9999994253	21908.9999999373	46229.9999999614	67138.0000002264	73030.0000001019	56449.000000088	23337.0000000837	105738.000000672
Methanoculleus marisnigri [h:1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanococcoides burtonii [h:10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcus kodakarensis [h:100]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Victivallis vadensis [h:1000]	0	0	0	0	0	0	5.02767039957568	0	0	0	0	0	0	0	0	0	0	0	0	1.34318887632255	0	0	0.450127963169707	0	0	0	0	0	0	0	0	0	0	0	0	3.19325160429234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19767716828549	0	0	0	0	4.6212654271445	0	0.321309159706009	0	5.98069495080399	0	0	0	0	0	0	0	0	1.79528102430993	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2035580283937	0.251202169228921	0	0	3.26562011627243	1.14276805483163	0	1.13965511447783	2.1694550521288	0	0	0.208757784350411	0	0	0	0.203873780116101	0	0	0	0.296774588367227	0	0	0	3.19077068006547
Gemmatimonas aurantiaca [h:1001]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacter succinogenes [h:1002]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38088009412867	0	0
unnamed Verrucomicrobiae bacterium DG1235 [u:1003]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opitutus terrae [h:1004]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coraliomargarita akajimensis [h:1005]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
