CCIS27304052ST-3-0	CCIS15794887ST-4-0	CCIS16561622ST-4-0	CCIS79210440ST-3-0	CCIS82507866ST-3-0	CCIS98482370ST-3-0	CCIS00281083ST-3-0	CCIS32452666ST-4-0	CCIS94417875ST-3-0	CCIS27927933ST-4-0	CCIS45571137ST-3-0	CCIS81139242ST-4-0	CCIS21126322ST-4-0	CCIS17669415ST-4-0	CCIS29210128ST-4-0	CCIS48725289ST-4-0	CCIS64785924ST-20-0	CCIS03473770ST-4-0	CCIS10706551ST-3-0	CCIS64773582ST-4-0	CCIS06260551ST-3-0	CCIS40244499ST-3-0	CCIS85214191ST-3-0	CCIS87167916ST-4-0	CCIS58234805ST-4-0	CCIS91228662ST-4-0	CCIS71301801ST-4-0	CCIS53355328ST-4-0	CCIS41222843ST-4-0	CCIS81887263ST-4-0	CCIS29688262ST-20-0	CCIS87116798ST-4-0	CCIS87605453ST-4-0	CCIS83870198ST-4-0	CCIS61287323ST-4-0	CCIS11362406ST-4-0	CCIS14449628ST-4-0	CCIS21278152ST-4-0	CCIS34055159ST-4-0	CCIS76845094ST-20-0	CCIS41548810ST-4-0	CCIS98512455ST-4-0	CCIS50148151ST-4-0	CCIS62605362ST-3-0	CCIS87252800ST-4-0	CCIS22958137ST-20-0	CCIS16326685ST-4-0	CCIS53043478ST-4-0	CCIS98832363ST-4-0	CCIS02124300ST-4-0	CCIS59132091ST-4-0	CCIS82146115ST-4-0	CCIS33816588ST-4-0	CCIS12656533ST-4-0	CCIS47284573ST-4-0	CCIS93040568ST-20-0	CCIS45793747ST-4-0	CCIS95097901ST-4-0	CCIS80834637ST-4-0	CCIS63910149ST-4-0	CCIS84543192ST-4-0	CCIS38765456ST-20-0	CCIS82944710ST-20-0	CCIS55230578ST-4-0	CCIS24254057ST-4-0	CCIS78318719ST-4-0	CCIS44757994ST-4-0	CCIS65479369ST-4-0	CCIS62794166ST-4-0	CCIS77252613ST-4-0	CCIS11015875ST-4-0	CCIS35100175ST-4-0	CCIS22416007ST-4-0	CCIS41288781ST-4-0	CCIS12370844ST-4-0	CCIS72607085ST-4-0	CCIS46047672ST-4-0	CCIS52370277ST-4-0	CCIS02379307ST-4-0	CCIS46467422ST-4-0	CCIS15704761ST-4-0	CCIS11558985ST-4-0	CCIS13047523ST-4-0	CCIS94603952ST-4-0	CCIS02856720ST-4-0	CCIS07648107ST-4-0	CCIS34604008ST-4-0	CCIS63468405ST-4-0	CCIS16383318ST-4-0	CCIS36699628ST-4-0	CCIS95409808ST-4-0	CCIS74239020ST-4-0	CCIS05314658ST-4-0	CCIS71578391ST-4-0	CCIS50003399ST-4-0	CCIS36797902ST-4-0	CCIS11354283ST-4-0	CCIS50471204ST-4-0	CCIS20795251ST-4-0	CCIS07277498ST-4-0	CCIS90164298ST-4-0	CCIS23164343ST-4-0	CCIS03857607ST-4-0	CCIS63448910ST-4-0	CCIS88007743ST-4-0	CCIS51595129ST-4-0	CCIS09568613ST-4-0	CCIS07539127ST-4-0	CCIS41692898ST-4-0	CCIS44093303ST-4-0	CCIS00146684ST-4-0	CCIS78100604ST-4-0	CCIS48174381ST-4-0	CCIS88317640ST-4-0
UNMAPPED	79082.6834733943	81853.4056661989	117405.355871455	71157.4520024746	52682.7524213849	84132.1490188169	41644.8595883782	66822.0736565469	129563.779300433	110146.784419842	72993.694963805	71251.6024263915	152141.140454684	99999.4480171709	43061.3414402327	51663.8566680907	12367.9785482325	66392.6300823659	112490.012150153	92950.4076994736	60728.5176402022	45147.2626805521	18606.0518352141	133086.03777673	21283.3993033661	112250.800756055	82445.3285035123	84336.4027680173	94523.2152549502	146639.534821408	83444.3628959066	66543.3420552365	50445.6106040843	115862.215480235	91165.8574329166	162713.832740129	57385.6910756869	97363.948537314	27095.4018966422	129801.679785059	96281.5959347198	61261.6819700683	51943.5381851321	245464.46553293	31055.0992013424	127233.568968872	67878.4427053756	70921.8288608081	126145.629402513	110446.815211378	155772.974791889	110079.381420648	117780.118905969	69246.8015213573	59544.9309079959	6715.60194877946	102030.609330087	59239.6644567396	103247.866786865	41099.2786530466	47576.6568190358	140253.429931035	6601.90239050562	111381.8453747	101794.757146076	123624.341995023	69741.4687048178	10241.1302443643	53294.190042402	131300.481918533	104143.064251037	96283.474098898	83461.6468423537	42643.0543517919	2100.83100345921	14830.3823220842	56536.1580499826	38559.0424956418	8221.21767622273	5770.48042283859	30514.5315057064	39535.5910135555	31065.2039834855	82860.9111494769	66003.296866946	87254.8666550732	75769.6997790218	70221.4826706405	137822.092789938	72569.5936205452	133698.055182245	102596.098841327	87566.2866841826	140806.978821325	52892.1229758589	72189.272772499	76141.6983191727	78786.5744627573	88941.3625009688	78162.861043515	115311.414961604	71287.5461862614	126681.629086496	51726.1908266064	42914.2439811349	89241.9750860671	138238.56164677	119779.117521859	66247.2242564829	28792.8343615364	113600.263484521	61491.20618613	64769.6532209497	108496.63425468
Methanoculleus marisnigri [h:1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanococcoides burtonii [h:10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcus kodakarensis [h:100]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Victivallis vadensis [h:1000]	0	0	0.99240317447524	0	36.8582546593756	0	0	0	13.0423389906773	0	0.979609920873272	0	0	0	0	0	0	23.9005876409581	0	56.591567569356	0	0	0	2.02826994719094	0	0	0	8.76969561132704	0	0	0	0	0	0	0	3.01492993102775	2.01855905667805	3.01093399363807	0	0	4.01671491279256	52.3289877054945	0	13.8235171803298	0	11.6925448187801	2.02759495523692	163.23303054895	29.7724933562388	0	0	0	33.1176911612766	1.96771849835329	0	0	0	0	0	1.91723173524313	38.3038130025016	7.96587767580185	0	0	0	0	36.615701870644	0	0	11.9727256219863	4.99266223157282	8.98178634215195	0	0	0	0	0	36.1161150722342	0	0	0	0	0	36.2054962447971	0	0	0	0	83.4270370127404	0	5.80727968148019	3.89708739593794	8.04744032077846	2.90144808114103	0	283.431635570124	0.966678247183026	0	47.2223361248469	0	13.0180548506034	0	0	0	1.00310141469376	31.2677599969862	165.597818889658	0	0	0	0.978909038910933	0	0	0
Gemmatimonas aurantiaca [h:1001]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacter succinogenes [h:1002]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.968785671939035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unnamed Verrucomicrobiae bacterium DG1235 [u:1003]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984928941752451	0	1.01588598593233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342950756418368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Opitutus terrae [h:1004]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coraliomargarita akajimensis [h:1005]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
