F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17
Crenarchaeota_noname_unclassified	0.00010250717	6.841e-05	0.00040988757	0.0001484234	0.00030793712	0.00017858228	0	0.00028716558	0	0.00060664606	0	0.00035004602	0	0	0.00035308516	0.00088862408	0.00057085419	0.0002683345	0.00036114403	0.00031913713	8.883026e-05	0.00057539661	0.00050202534	0.00059842138	0.00046670888	8.608269e-05	4.138406e-05	0	4.041022e-05	0.00012526939	0.00024334611	0.00015657875	0.00030313676	0	0.0003401004	0.00026295611	0.00013922767	0.00016944092	0	0.00056566569	0.00037792885	0.00030034408	0	0.00037852769	0.00016640945	0	0.00060985224	0.00027057134
Staphylothermus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.607334e-05	0	0	0	0	0	1.55238e-05	8.84033e-06	0	0	2.561426e-05	0	0	0	0	0	0	0	0	0	0	0	2.571154e-05	0
Sulfolobus_islandicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.405534e-05	6.59279e-06	0	0	4.442967e-05	0	0	0	0	0	0	0	0	0	0	0	5.673538e-05	0
Sulfolobus_solfataricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.206056e-05	0
Archaeoglobus_unclassified	0	4.028452e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.538352e-05	2.412362e-05	0	0	0.0001383486	0	0.00011484316	0	0	0.00020092721	0	0	0	0	0.00013011634	0	0.00017743088	0
Aciduliprofundum_boonei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.23037e-06	1.138755e-05	1.120783e-05	0	3.462668e-05	0	0	0	0	0	0	0	0	0	0	0	6.374762e-05	0
Euryarchaeota_noname_unclassified	0.0005048478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022210541	0	0	0	0	0.00017853089	0.00010909776	0	0	0	0	0	0	0.00063795212	0	0	0	0	0.0001580941	0
Haladaptatus_paucihalophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61518e-06	1.318558e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halalkalicoccus_jeotgali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.468394e-05	0	0	1.24909e-05	0	0	0	0	0	0	0	0	0	0	0	5.822283e-05	0
Halarchaeum_acidiphilum	0	6.705899e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.623648e-05	0	3.713126e-05	2.562198e-05	0	0	6.48262e-06	0	0	0	0	0	0	0	0	0	0	0	4.419835e-05	0
Haloarcula_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64993e-06	8.84033e-06	0	0	2.150333e-05	0	0	0	0	0	0	0	0	0	0	0	7.86221e-06	0
Halobacterium_salinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.496395e-05	3.805838e-05	0	0	3.589158e-05	0	0	0	0	0	0	0	0	0	0	0	8.372188e-05	0
Halobacterium_unclassified	7.786602e-05	0.00078554817	0.00052873169	0	0.00061272356	0.0009407428	0.00059434662	0.00046142405	0.00100237339	0.00037607875	0.00029395197	0.00051654805	0.00071539256	0.001281606	0.00072517316	0.00036217812	0.00088805708	0.00065691564	0.00094403956	0.00075722207	0.00055782592	0.00054365059	0.00137436333	0.00078977448	0.00065749677	0.00063233024	0.0005055439	0.00045069065	0.00094044227	0.00028169498	0.00080346172	0.0003973654	0.00029070307	0.00070701136	0.00059908899	0.00097714491	0.00102540787	0.00059835268	4.208738e-05	0.00109985331	0.00045542057	0.0006863781	0.00041258704	0.0003080842	0.00079099956	0.00046834916	0.00064682586	0.00060448714
Halobiforma_lacisalsi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.468468e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0747e-06	0
Halobiforma_unclassified	6.130717e-05	0.00023470647	0.00018283711	0	0.00027742531	6.406617e-05	0	2.55201e-05	6.284767e-05	2.299242e-05	0	0	0	0.00019953039	0	0	0.00012349544	0.00011273123	0.00024028226	0.00017778416	0.00015867569	0.00015854113	0.00014826298	8.216667e-05	0.00012777979	0.00022094558	0.00010377366	0	0.00027880035	0	0.00017978243	0.00026745748	0.00013449395	4.4415e-05	0.00023337433	0.00017092147	0.00011924811	7.617916e-05	0	0.00039574673	0	0.00012106494	0	4.144567e-05	3.359886e-05	8.662765e-05	0.00020845472	0.0002904796
Halococcus_hamelinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.043544e-05	0	0	0	0	0	0	0	0	0	0	0	5.737286e-05	0
Halococcus_unclassified	0.00031382964	0.00049950351	0.00061267055	0.00014316673	0.00071636421	0.00052073405	0.00061659117	0.00023792983	5.872036e-05	0.0002445557	0	0.00044505012	0.00040393552	6.935451e-05	0.00011984054	0.00012992937	0.00055253801	0.00047278796	0.00040458838	0.00047469827	0.00031828891	0.00042724852	0.00061052166	0.00021327897	0.00066070329	0.00033406126	0.0008000918	0	0.00041948219	0	0.00058612847	0.00052397693	0.00036302859	0.0005810237	0.00051022965	0.00061724564	0.0001856369	0.00029332824	0.00011952817	0.00046496717	0.00013441929	0.0005589594	0	0.00039083408	0.00036261411	0.00088292435	0.00051614323	0.00038676318
Haloferax_unclassified	0	0.00024170713	0	0	0.00012586121	0.00014052662	0	0	0	0	0	0	0	0	0	0	0	0.00045417023	5.415102e-05	0.00018725626	0	0.00022411178	0.00027606796	0	0.00036345896	0.00015978156	6.113554e-05	0	0.00010193025	0	8.22342e-05	0.00015852662	3.887716e-05	0	0.00015732213	0.00017004495	9.502092e-05	0.00023084594	0	0.00024712637	0	0	0	0	0	0.00014172755	0.00026667755	0.00052358721
Haloferax_volcanii	0	5.747913e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.569822e-05	0.00024110585	0	0	0	0	0	0	0	0	0	4.071179e-05	0	4.132688e-05	2.607149e-05	0	0	1.423014e-05	0	6.041065e-05	0	0	0	0	0	0	0	0	0	8.478434e-05	0
